#name:PaxDB integrated dataset
#score:16.4
#weight:
#description: integrated dataset: weighted average of 'Drosohpila PeptideAtlas Build June 2010'(weighting 10%), 'Drosohpila PeptideAtlas Build July 2009'(weighting 10%), 'D. melanogaster, Brunner, Nat. Biotech. 2007'(weighting 100%)<br/><b>Interaction consistency score</b>: 16.4&nbsp<b>Coverage</b>: 63%
#organ:WHOLE_ORGANISM
#integrated:true
#
#internal_id	string_external_id	abundance
#
622426	7227.FBpp0070001	5.97842769107652
622427	7227.FBpp0070002	1.55489204493819
622428	7227.FBpp0070004	1.69682667943292
622429	7227.FBpp0070005	1.61212941686212
622430	7227.FBpp0070006	481.555491986702
622431	7227.FBpp0070007	16.1630217627506
622432	7227.FBpp0070024	468.590022950536
622433	7227.FBpp0070025	40.5064901687928
622434	7227.FBpp0070026	4.27375066007788
622435	7227.FBpp0070027	52.0874166410545
622436	7227.FBpp0070028	1.55489204493819
622440	7227.FBpp0070036	4.5166982574711
622441	7227.FBpp0070037	35.7669526111225
622442	7227.FBpp0070040	157.702827730568
622443	7227.FBpp0070043	275.802193257493
622444	7227.FBpp0070044	10.0080551227573
622445	7227.FBpp0070045	3.35417854236161
622446	7227.FBpp0070049	0.962950105010617
622447	7227.FBpp0070051	15.7793552256217
622448	7227.FBpp0070052	0.962950105010617
622449	7227.FBpp0070054	15.7793552256217
622450	7227.FBpp0070056	0.962950105010617
622451	7227.FBpp0070057	285.180521831643
622452	7227.FBpp0070062	4.50909770281006
622453	7227.FBpp0070063	25.7378791426345
622454	7227.FBpp0070066	38.2604239452672
622456	7227.FBpp0070069	5.11722241283528
622464	7227.FBpp0070078	5.67059873410002
622465	7227.FBpp0070079	6.11716585869741
622466	7227.FBpp0070083	51.7321407550191
622467	7227.FBpp0070085	8.91255740613667
622468	7227.FBpp0070086	69.5464413127388
622469	7227.FBpp0070087	1018.79259304727
622470	7227.FBpp0070089	14.511780248366
622472	7227.FBpp0070094	55.9279417163525
622473	7227.FBpp0070095	5.2549178359297
622477	7227.FBpp0070103	4.36483118809577
622480	7227.FBpp0070110	14.9079244399926
622482	7227.FBpp0070114	38.2474881584746
622483	7227.FBpp0070115	14.9324854833798
622484	7227.FBpp0070116	6.90937395605349
622485	7227.FBpp0070119	351.392041947893
622487	7227.FBpp0070129	14.3349181116079
622489	7227.FBpp0070134	2.01129181851084
622490	7227.FBpp0070135	1.85092849817596
622491	7227.FBpp0070136	139.554575370668
622494	7227.FBpp0070141	14.2889187544179
622495	7227.FBpp0070142	9.89701988036377
622496	7227.FBpp0070143	2280.91072538593
622497	7227.FBpp0070144	2.64722051340441
622498	7227.FBpp0070145	2.35808596434378
622499	7227.FBpp0070146	5.46782780516566
622500	7227.FBpp0070151	4905.32693261347
622501	7227.FBpp0070154	806.762911677712
622502	7227.FBpp0070155	5.30253502750207
622505	7227.FBpp0070160	12.2340810685783
622507	7227.FBpp0070164	85.3910278644943
622508	7227.FBpp0070165	1.64607516843221
622513	7227.FBpp0070170	13.4275849805698
622514	7227.FBpp0070171	5.06252147136176
622515	7227.FBpp0070172	19.7139417868264
622517	7227.FBpp0070174	0.942670509761894
622518	7227.FBpp0070175	5.18839531364644
622521	7227.FBpp0070178	3.45864926581117
622522	7227.FBpp0070179	331.778426796658
622523	7227.FBpp0070180	3.50623768448124
622524	7227.FBpp0070181	13.3008321776412
622525	7227.FBpp0070182	3.14895751920103
622527	7227.FBpp0070184	1.64072969434991
622528	7227.FBpp0070186	1.07057732415183
622530	7227.FBpp0070190	10.5209437110687
622540	7227.FBpp0070200	1.67685105584418
622541	7227.FBpp0070203	17.7392310250345
622543	7227.FBpp0070205	13.2019887969087
622544	7227.FBpp0070206	1.70989962705711
622545	7227.FBpp0070207	14.2875751377351
622546	7227.FBpp0070209	16.398759460397
622547	7227.FBpp0070216	31.6095989713432
622549	7227.FBpp0070221	16.8002129815077
622550	7227.FBpp0070222	1.23001441930147
622551	7227.FBpp0070224	37.3521846858606
622552	7227.FBpp0070225	2.10530151732222
622553	7227.FBpp0070226	13.3417603650362
622554	7227.FBpp0070227	2.50979470507958
622555	7227.FBpp0070228	0.220609100441119
622556	7227.FBpp0070230	3.87258220564678
622559	7227.FBpp0070235	0.839737598097183
622560	7227.FBpp0070238	4.05525120160944
622563	7227.FBpp0070242	4.82060466824702
622566	7227.FBpp0070246	5.98774444282452
622568	7227.FBpp0070248	11.7440105902043
622569	7227.FBpp0070249	177.207894833864
622570	7227.FBpp0070250	8.23365374176585
622571	7227.FBpp0070259	13.4207771972824
622572	7227.FBpp0070260	20.5571446000327
622578	7227.FBpp0070273	41.7495795659304
622579	7227.FBpp0070274	0.420373871003727
622580	7227.FBpp0070275	4.19341747512508
622581	7227.FBpp0070276	1.28705790936905
622582	7227.FBpp0070279	2832.89535945305
622585	7227.FBpp0070283	6.26952248191083
622586	7227.FBpp0070284	36.5775648375314
622587	7227.FBpp0070285	9.49172916169229
622588	7227.FBpp0070286	0.598811283473509
622591	7227.FBpp0070291	0.673327915193967
622592	7227.FBpp0070295	9.62174995043588
622593	7227.FBpp0070297	0.516858839083761
622594	7227.FBpp0070298	244.034023841748
622595	7227.FBpp0070299	25.3230286963244
622597	7227.FBpp0070301	29.6242845183795
622598	7227.FBpp0070302	19.243353247852
622599	7227.FBpp0070303	17.206076570453
622600	7227.FBpp0070304	11.2141467365982
622601	7227.FBpp0070305	27.1702079998682
622602	7227.FBpp0070308	12.8161216199902
622603	7227.FBpp0070312	29.9117462624343
622607	7227.FBpp0070317	41.7219903288691
